Feature,Pearson_homo,Spearman_homo,Pearson_lumo,Spearman_lumo
alpha,0.2409,0.219,0.2846,0.3255
zpve,0.1861,0.2008,0.6401,0.6344
mu,-0.1233,-0.1675,-0.4012,-0.4338
cv,0.1118,0.0367,0.2628,0.2609
g298,-0.083,0.0219,0.351,0.3535
u0,-0.083,0.0217,0.351,0.3532
u298,-0.083,0.0216,0.3511,0.353
h298,-0.083,0.0216,0.3511,0.353
fr_unbrch_alkane,-0.0165,-0.0254,0.0004,-0.0092
Kappa1,-0.0159,-0.0155,0.0033,0.005
r2,-0.0158,-0.0861,-0.0089,-0.0044
VSA_EState4,0.0158,0.0146,-0.0088,-0.0127
BertzCT,0.0146,0.0086,-0.0163,-0.0176
fr_hdrzone,0.0146,0.011,0.0,-0.0011
fr_C_O_noCOO,-0.0144,-0.0143,-0.0063,-0.0034
SMR_VSA2,-0.0132,-0.0142,-0.0026,-0.0038
BalabanJ,-0.0107,-0.0174,-0.014,-0.0138
fr_epoxide,0.0096,0.011,0.0074,0.0061
EState_VSA7,-0.0095,-0.0101,0.0006,0.0008
SASA (Å²),-0.0093,-0.0024,0.0064,0.0079
Chi1,0.0089,0.0032,-0.0112,-0.0063
Ipc,0.0073,0.0084,-0.0009,-0.0043
fr_NH1,0.0073,0.005,-0.0107,-0.0086
qed,0.0065,0.0089,0.0058,0.004
BCUT2D_MRLOW,0.0064,0.0065,-0.0106,-0.0076
BCUT2D_LOGPLOW,0.0063,0.0059,-0.0067,-0.0087
PEOE_VSA11,-0.0059,-0.0089,-0.002,-0.0024
PEOE_VSA2,-0.0059,-0.0051,-0.0092,-0.0104
PEOE_VSA5,-0.0057,-0.0039,0.0023,0.0029
fr_amidine,0.0054,0.0021,-0.0147,-0.0158
EState_VSA2,-0.0053,-0.0105,0.0058,0.0059
fr_amide,-0.0041,-0.0047,-0.0028,-0.0035
Chi1v,0.0036,0.0093,0.009,0.0068
Chi1n,0.0033,0.0091,0.0086,0.0064
fr_urea,-0.0031,-0.004,-0.0004,0.0004
MaxPartialCharge,0.003,-0.004,-0.0079,-0.0096
Chi3n,0.0029,0.0092,0.006,0.0118
Chi3v,0.0029,0.0092,0.006,0.0118
fr_Ndealkylation1,-0.0027,-0.0046,0.0034,0.0034
fr_morpholine,0.0025,0.0043,-0.0029,-0.004
fr_azo,-0.0022,-0.0044,-0.0046,-0.0038
NumHDonors,0.0022,-0.0003,0.0029,0.0022
fr_priamide,0.0021,0.0004,0.0047,0.0035
fr_COO2,0.0019,0.0022,0.0093,0.0093
NumHAcceptors,-0.0017,-0.0049,-0.006,-0.0074
fr_phenol,-0.0015,0.0018,-0.0058,-0.0034
fr_nitroso,0.0012,0.0022,0.0025,0.0027
SlogP_VSA1,0.0008,-0.0017,-0.0086,-0.01
Steric Hindrance,-0.0007,0.0037,0.011,0.0085
fr_ester,0.0006,0.0026,-0.0045,-0.0046
fr_para_hydroxylation,0.0001,0.0005,-0.0045,-0.0045
