Model,Target,Train RMSE,Train MAE,Train R2,Validation RMSE,Validation MAE,Validation R2,Test RMSE,Test MAE,Test R2
StackingReg.,homo,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
MLPReg.,homo,0.688,0.518,0.526,0.693,0.52,0.536,0.685,0.515,0.52
AdaBoostReg.,homo,0.895,0.724,0.198,0.897,0.726,0.221,0.891,0.724,0.188
LinearReg.,homo,0.906,0.648,0.179,0.917,0.653,0.186,0.899,0.646,0.174
BayesianRidge,homo,0.909,0.651,0.173,0.921,0.655,0.179,0.904,0.65,0.165
RidgeReg.,homo,0.909,0.651,0.173,0.921,0.655,0.179,0.904,0.65,0.165
KNeighborsReg.,homo,0.739,0.545,0.453,0.921,0.675,0.18,0.91,0.671,0.154
SVR,homo,0.919,0.642,0.154,0.933,0.648,0.159,0.914,0.641,0.147
ElasticNetReg.,homo,0.999,0.707,0.0,1.017,0.716,-0.0,0.989,0.703,-0.0
LassoReg.,homo,0.999,0.707,0.0,1.017,0.716,-0.0,0.989,0.703,-0.0
StackingReg.,lumo,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
MLPReg.,lumo,0.542,0.431,0.706,0.546,0.435,0.702,0.539,0.426,0.711
LinearReg.,lumo,0.594,0.472,0.647,0.596,0.474,0.646,0.589,0.47,0.654
BayesianRidge,lumo,0.643,0.517,0.586,0.643,0.518,0.588,0.636,0.513,0.597
RidgeReg.,lumo,0.643,0.517,0.586,0.643,0.518,0.588,0.636,0.513,0.597
SVR,lumo,0.649,0.512,0.579,0.648,0.511,0.582,0.641,0.507,0.59
AdaBoostReg.,lumo,0.65,0.562,0.577,0.652,0.563,0.576,0.653,0.565,0.575
KNeighborsReg.,lumo,0.625,0.491,0.609,0.772,0.612,0.406,0.767,0.607,0.414
ElasticNetReg.,lumo,0.943,0.774,0.11,0.945,0.775,0.11,0.945,0.778,0.11
LassoReg.,lumo,1.0,0.819,0.0,1.002,0.82,-0.0,1.002,0.823,-0.0
