Fold,Model,Target,Train RMSE,Train MAE,Train R2,Test RMSE,Test MAE,Test R2
1,1 AdaBoostRegressor,homo,0.8839171784449497,0.7165063612471421,0.21869389510764126,0.8865861281553126,0.7183515945459559,0.21391245958786154
2,1 AdaBoostRegressor,homo,0.8922592955034333,0.7187416883607906,0.2027537046710408,0.8901063687265967,0.7174928368424626,0.2175994712633721
3,1 AdaBoostRegressor,homo,0.9059162039033802,0.7392869628958763,0.18135439742311232,0.901582093810927,0.7368114632908734,0.16850515616566497
4,1 AdaBoostRegressor,homo,0.8884623601812723,0.7248548028444205,0.2135462934485738,0.8794020346480436,0.7152156546202086,0.19999535674740387
5,1 AdaBoostRegressor,homo,0.9127519642802538,0.7474669663162756,0.16521010463479258,0.9234738905512171,0.7560412751302181,0.16225074890383062
6,1 AdaBoostRegressor,homo,0.919216882490117,0.755302855895984,0.1531436932788618,0.9217963707506623,0.7563484642394003,0.16706298261900765
7,1 AdaBoostRegressor,homo,0.8945132242478981,0.7115396511833851,0.19742367449743792,0.9021818462932031,0.7148562510980324,0.20758770097025436
8,1 AdaBoostRegressor,homo,0.8834362460318332,0.7174375494680914,0.2172919948130123,0.879771277975898,0.7148938055629341,0.2454823119373707
9,1 AdaBoostRegressor,homo,0.9115169386029057,0.7441602811527934,0.17145520432627404,0.9122256596313278,0.74465576417976,0.1463459097662555
10,1 AdaBoostRegressor,homo,0.8975296548856428,0.7377506810724472,0.19648348905711777,0.8981693407690087,0.7396114781295356,0.17436871568356405
Average,1 AdaBoostRegressor,homo,0.8989519948571687,0.7313047800437207,0.19173564512578647,0.8995295011312198,0.7314278587639381,0.1903110813644585
STD,1 AdaBoostRegressor,homo,0.012044988201640502,0.014522533462622741,0.02178045361449936,0.015150136743207936,0.01635173180042905,0.02954363349177308
1,2 BayesianRidge,homo,0.9095784623451734,0.6506881370642253,0.17267069890114028,0.9104013730879775,0.6534716839814458,0.1711138995062692
2,2 BayesianRidge,homo,0.9090463252032788,0.6510118462257649,0.17247260724002578,0.9151362630786954,0.6518306500772765,0.1729784078731993
3,2 BayesianRidge,homo,0.9108557587995364,0.6517655206925983,0.17240264395869476,0.8987735049151298,0.643631196005472,0.1736775963042353
4,2 BayesianRidge,homo,0.9115609974507136,0.652273311090465,0.17212157207097478,0.8923521941866763,0.6404961460372177,0.176259977672089
