Fold,Model,Target,Train RMSE,Train MAE,Train R2,Test RMSE,Test MAE,Test R2
Average,1 AdaBoostRegressor,homo,0.8989519948571687,0.7313047800437207,0.19173564512578647,0.8995295011312198,0.7314278587639381,0.1903110813644585
STD,1 AdaBoostRegressor,homo,0.012044988201640502,0.014522533462622741,0.02178045361449936,0.015150136743207936,0.01635173180042905,0.02954363349177308
Average,2 BayesianRidge,homo,0.9096245724459789,0.651048400854951,0.17258106558322978,0.9099365228709161,0.6512961886668909,0.1718481840248725
STD,2 BayesianRidge,homo,0.0010013443300230672,0.0007342861626139707,0.0006898921123434288,0.009064689018060883,0.006202302358050415,0.006226070539824948
Average,3 ElasticNetRegressor,homo,0.9999990981416331,0.707885647407583,0.0,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
STD,3 ElasticNetRegressor,homo,0.0012505606451564389,0.0008364179045478732,0.0,0.011270654046469243,0.007499113653609977,2.3940439221277283e-05
Average,4 KNeighborsRegressor,homo,0.737286032279094,0.5430167269854385,0.4564086839763545,0.9079636599927443,0.6677292891010987,0.1754984420016238
STD,4 KNeighborsRegressor,homo,0.001293106303874562,0.0010610645573452735,0.0007099512175336838,0.012200653901577652,0.00787967542061156,0.006661457232731192
Average,6 LinearRegression,homo,0.9060705069175322,0.6487039846495083,0.1790341039560694,0.9064041242984965,0.6489671230978076,0.17825884794597496
STD,6 LinearRegression,homo,0.0010042745827348856,0.000721866867346205,0.0007857608869748137,0.009088242457155676,0.00596722044137825,0.007142684757253205
Average,5 LassoRegressor,homo,0.9999990981416331,0.707885647407583,0.0,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
STD,5 LassoRegressor,homo,0.0012505606451564389,0.0008364179045478732,0.0,0.011270654046469243,0.007499113653609977,2.3940439221277283e-05
Average,7 MLPRegressor,homo,0.6691812675519696,0.5046136320580733,0.5521377712605255,0.672546800031122,0.5066151784245874,0.547389980826186
STD,7 MLPRegressor,homo,0.008273716271522605,0.00913585549182745,0.010596378471738525,0.009799608537502384,0.007548788713149055,0.015370208088116327
Average,8 RidgeRegressor,homo,0.9096231101244492,0.651117839085796,0.1725837260647996,0.9099398562942291,0.6513680933267747,0.1718420208004748
STD,8 RidgeRegressor,homo,0.0010013523290061674,0.0007346051944207446,0.0006897335175804533,0.009062277492184155,0.006201072887611192,0.00623282252165772
Average,9 SVR,homo,0.9197865208032898,0.6420647414724698,0.15399052289482432,0.9199506513059383,0.6423327774688338,0.15353580901696087
STD,9 SVR,homo,0.0009822393068503867,0.0007550965199098641,0.0007682509757167327,0.009438881686257236,0.0067972193781836426,0.004678207721127949
Average,StackingRegressor,homo,0.00012750003563324002,2.3733431245404795e-05,0.9999999814684235,0.00025988260697059945,4.093242394095708e-05,0.9999999208266104
STD,StackingRegressor,homo,4.7704987197085115e-05,9.335923970949393e-06,1.1465822085495857e-08,0.00010740354000628342,1.3920914942496751e-05,5.867720194965921e-08
Average,1 AdaBoostRegressor,lumo,0.648242899622952,0.5607366444493962,0.5797503053837514,0.6485162826960545,0.560949684278643,0.5792745473165788
STD,1 AdaBoostRegressor,lumo,0.005991496531618368,0.006579348932630808,0.007457575882376191,0.005546446766617595,0.005520652811302734,0.010317880914052802
Average,2 BayesianRidge,lumo,0.6423182851474276,0.516759844963109,0.5874262604028682,0.6425809122376046,0.5169735519406361,0.5870120522200858
STD,2 BayesianRidge,lumo,0.0003775096631824084,0.00026653913252335014,0.0005892836333414576,0.003383365913421892,0.0023421696979925247,0.005303436721904055
Average,3 ElasticNetRegressor,lumo,0.9429432583410968,0.774077978077327,0.11085642948591715,0.9429419841023099,0.7740851306535497,0.11076904945579238
STD,3 ElasticNetRegressor,lumo,0.00032646681873374267,0.0003137490062240395,0.0006249965197610037,0.005273707005931105,0.004358543303572423,0.0005716338916718262
Average,4 KNeighborsRegressor,lumo,0.6209677993909469,0.4882784689013756,0.614397916959047,0.7644212594068669,0.6039959836487448,0.41554672050112657
STD,4 KNeighborsRegressor,lumo,0.00027719719827012815,0.0002148026561358562,0.0006301561760857703,0.004177231832156239,0.002982455777623249,0.007822617731145134
Average,6 LinearRegression,lumo,0.5936415532614225,0.4721332638771849,0.6475888628363501,0.5939037316563123,0.4723330869286215,0.6472100704539387
STD,6 LinearRegression,lumo,0.0002572259794377774,0.00026995088987715273,0.0004802709842013292,0.002291393453600244,0.0024211915250300802,0.00431451458912061
Average,5 LassoRegressor,lumo,0.9999993496319728,0.8193965859348026,0.0,0.9999947232448475,0.8194024846522817,-9.482033386851719e-05
STD,5 LassoRegressor,lumo,0.0005928147207109182,0.00046249152860692867,0.0,0.0053350863114419176,0.0043072987961053745,0.00010288843038056846
Average,7 MLPRegressor,lumo,0.5365590942826282,0.42489472210368107,0.7120551065226939,0.5386546036415362,0.42647571206336155,0.7097352907944163
STD,7 MLPRegressor,lumo,0.007086809597654824,0.0073086002547831114,0.007519233491578082,0.00618297684559519,0.0067810343616724975,0.008134619418207083
Average,8 RidgeRegressor,lumo,0.6423167657170511,0.5167620070892702,0.5874282123326424,0.642580582297048,0.5169763554138472,0.5870124638416467
STD,8 RidgeRegressor,lumo,0.0003775047809322504,0.0002665371133759051,0.0005892705516253222,0.0033845179671527286,0.002342143935716535,0.005305001498283581
Average,9 SVR,lumo,0.6481124167649333,0.5111068176069624,0.5799493015459455,0.6483476765964563,0.5113771576537441,0.5795652113243438
STD,9 SVR,lumo,0.00038140505766065584,0.0002583065610075041,0.000611406590944397,0.0033705389843890973,0.002308397843160317,0.005441710505338193
